2021-08-16 23:20:08 - WARNING :: CP Server Thread-6 : Failed to get image /library/metadata/14818/art, falling back to art.
2021-08-16 23:20:45 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 131 watched.
2021-08-16 23:21:07 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 131 stopped.
2021-08-16 23:21:07 - DEBUG   :: Thread-16 : Tautulli ActivityProcessor :: Fetching metadata for item ratingKey 14818
2021-08-16 23:21:07 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Removing sessionKey 131 ratingKey 14818 from session queue
2021-08-16 23:21:09 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 132 started by user 78036743 (Slenderman783) with ratingKey 14819 (Paradise - MEDUZA feat. Dermot Kennedy).
2021-08-16 23:21:19 - WARNING :: CP Server Thread-13 : Failed to get image /library/metadata/14819/art, falling back to art.
2021-08-16 23:22:57 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 133 started by user 78052850 (MISSMYSTIQUEc) with ratingKey 15149 (Clouds).
2021-08-16 23:23:10 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 126 stopped.
2021-08-16 23:23:10 - DEBUG   :: Thread-16 : Tautulli ActivityProcessor :: Fetching metadata for item ratingKey 14868
2021-08-16 23:23:10 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Removing sessionKey 126 ratingKey 14868 from session queue
2021-08-16 23:23:10 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 79 stopped.
2021-08-16 23:23:10 - DEBUG   :: Thread-16 : Tautulli ActivityProcessor :: Fetching metadata for item ratingKey 6760
2021-08-16 23:23:10 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Removing sessionKey 79 ratingKey 6760 from session queue
2021-08-16 23:23:37 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 132 watched.
2021-08-16 23:23:55 - DEBUG   :: Thread-16 : Tautulli ActivityHandler :: Session 132 stopped.
